,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,Term in Months,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,acc_now_delinq,delinq_amnt,pub_rec_bankruptcies
1,1077430,1314167,2500,2500,2500.0,60,15.27%,59.83,C,C4,Ryder,< 1 year,RENT,30000.0,Source Verified,Dec-11,Charged Off,car,bike,309xx,GA,1.0,0,Apr-99,5,0,0,3,0,1687,9.40%,4,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,Apr-13,119.66,,Sep-13,0,0,0.0
8,1071795,1306957,5600,5600,5600.0,60,21.28%,152.39,F,F2,,4 years,OWN,40000.0,Source Verified,Dec-11,Charged Off,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,Apr-04,2,0,0,11,0,5210,32.60%,13,0.0,0.0,646.02,646.02,162.02,294.94,0.0,189.06,2.09,Apr-12,152.39,,Aug-12,0,0,0.0
9,1071570,1306721,5375,5375,5350.0,60,12.69%,121.45,B,B5,Starbucks,< 1 year,RENT,15000.0,Verified,Dec-11,Charged Off,other,Building my credit history.,774xx,TX,18.08,0,Sep-04,0,0,0,2,0,9279,36.50%,3,0.0,0.0,1476.19,1469.34,673.48,533.42,0.0,269.29,2.52,Nov-12,121.45,,Mar-13,0,0,0.0
12,1064687,1298717,9000,9000,9000.0,36,13.49%,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,freedom,245xx,VA,10.08,0,Apr-04,1,0,0,4,0,10452,91.70%,9,0.0,0.0,2270.7,2270.7,1256.14,570.26,0.0,444.3,4.16,Jul-12,305.38,,Nov-12,0,0,0.0
14,1069057,1303503,10000,10000,10000.0,36,10.65%,325.74,B,B2,SFMTA,3 years,RENT,100000.0,Source Verified,Dec-11,Charged Off,other,Other Loan,951xx,CA,7.06,0,May-91,2,0,0,14,0,11997,55.50%,29,0.0,0.0,7471.99,7471.99,5433.47,1393.42,0.0,645.1,6.3145,Oct-13,325.74,,Mar-14,0,0,0.0
21,1039153,1269083,21000,21000,21000.0,36,12.42%,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000.0,Verified,Dec-11,Charged Off,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0,Feb-83,0,0,0,7,0,32135,90.30%,38,0.0,0.0,14025.4,14025.4,10694.96,3330.44,0.0,0.0,0.0,Sep-13,701.73,,May-16,0,0,0.0
24,1069559,1304634,6000,6000,6000.0,36,11.71%,198.46,B,B3,bmg-educational,1 year,RENT,76000.0,Not Verified,Dec-11,Charged Off,major_purchase,cash,900xx,CA,2.4,0,Jun-01,1,0,0,7,0,5963,29.70%,7,0.0,0.0,2050.14,2050.14,1305.58,475.25,0.0,269.31,2.57,Oct-12,198.46,,Mar-13,0,0,0.0
26,1069800,1304679,15000,15000,8725.0,36,14.27%,514.64,C,C2,nyc transit,9 years,RENT,60000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,consolidation,103xx,NY,15.22,0,Oct-03,1,0,0,7,0,5872,57.60%,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,May-16,0,0,0.0
27,1069657,1304764,5000,5000,5000.0,60,16.77%,123.65,D,D2,Frito Lay,2 years,RENT,50004.0,Not Verified,Dec-11,Charged Off,other,Other,150xx,PA,13.97,3,Oct-03,0,20,0,14,0,4345,59.50%,22,0.0,0.0,1609.12,1609.12,629.05,719.11,0.0,260.96,2.3,Dec-12,123.65,,May-13,0,0,0.0
46,1069465,1304521,5000,5000,5000.0,36,8.90%,158.77,A,A5,STERIS Corporation,10+ years,MORTGAGE,100000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation for a better life,441xx,OH,16.33,0,Jun-95,0,0,0,17,0,74351,62.10%,35,0.0,0.0,5021.37,5021.37,4217.38,696.99,0.0,107.0,1.07,Aug-14,158.77,,Dec-14,0,0,0.0
